,Country Name,Country Code,Year,GDP,Health Spendings,Life Expectancy,Population
0,Australia,AUS,1971,45149512823.3845,212.481,71.0682926829268,12937000.0
1,Australia,AUS,1972,51967289719.6262,226.456,71.4575609756098,13177000.0
2,Australia,AUS,1973,63737347853.9398,251.009,71.8468292682927,13380000.0
3,Australia,AUS,1974,88831245394.252,306.834,72.2360975609756,13723000.0
4,Australia,AUS,1975,97171924074.8327,374.28,72.6253658536586,13893000.0
5,Australia,AUS,1976,104921215177.108,405.921,73.0146341463415,14033000.0
6,Australia,AUS,1977,110201881165.405,450.006,73.3443902439024,14192000.0
7,Australia,AUS,1978,118338596886.984,483.151,73.6741463414634,14358000.0
8,Australia,AUS,1979,134712029989.776,526.598,74.0039024390244,14514000.0
9,Australia,AUS,1980,149776044568.245,592.218,74.3336585365854,14692000.0
10,Australia,AUS,1981,176642284918.147,668.01,74.6634146341463,14927000.0
11,Australia,AUS,1982,193770274743.462,705.291,74.9048780487805,15178000.0
12,Australia,AUS,1983,177030416471.689,757.182,75.1463414634146,15369000.0
13,Australia,AUS,1984,193242166274.226,803.593,75.3878048780488,15544000.0
14,Australia,AUS,1985,180235483623.533,855.24,75.6292682926829,15758000.0
15,Australia,AUS,1986,182036933407.946,904.27,75.8707317073171,16018400.0
16,Australia,AUS,1987,189061672842.774,952.355,76.1517073170732,16263900.0
17,Australia,AUS,1988,235658469150.175,1027.612,76.4326829268293,16532200.0
18,Australia,AUS,1989,299272046250.305,1097.028,76.7136585365854,16814400.0
19,Australia,AUS,1990,310781069642.17,1165.903,76.9946341463415,17065100.0
20,Australia,AUS,1991,325315909269.288,1233.994,77.2756097560976,17284000.0
21,Australia,AUS,1992,324884257479.043,1305.137,77.3780487804878,17495000.0
22,Australia,AUS,1993,311549325463.744,1372.783,77.8780487804878,17667000.0
23,Australia,AUS,1994,322213766862.677,1454.12,77.8780487804878,17855000.0
24,Australia,AUS,1995,367216364716.365,1536.999,77.8292682926829,18072000.0
25,Australia,AUS,1996,400302731411.229,1642.462,78.0780487804878,18311000.0
26,Australia,AUS,1997,434568007512.913,1727.251,78.4804878048781,18517000.0
27,Australia,AUS,1998,398899138574.239,1838.642,78.6317073170732,18711000.0
28,Australia,AUS,1999,388608221581.652,1956.897,78.9317073170732,18926000.0
29,Australia,AUS,2000,415222633925.768,2153.634,79.2341463414634,19153000.0
30,Australia,AUS,2001,378376086723.194,2289.326,79.6341463414634,19413000.0
31,Australia,AUS,2002,394648911678.527,2481.046,79.9365853658537,19651400.0
32,Australia,AUS,2003,466488060570.763,2577.159,80.2390243902439,19895400.0
33,Australia,AUS,2004,612490396927.017,2816.73,80.490243902439,20127400.0
34,Australia,AUS,2005,693407758231.845,2872.44,80.8414634146341,20394800.0
35,Australia,AUS,2006,746054207846.661,2994.952,81.0414634146342,20697900.0
36,Australia,AUS,2007,853099630996.31,3197.517,81.2926829268293,20827600.0
37,Australia,AUS,2008,1053995523724.26,3350.144,81.3951219512195,21249200.0
38,Australia,AUS,2009,927805183330.879,3421.883,81.5439024390244,21691700.0
39,Australia,AUS,2010,1146138465603.81,3595.14,81.6951219512195,22031750.0
40,Australia,AUS,2011,1396649906339.35,3809.112,81.8951219512195,22340024.0
41,Australia,AUS,2012,1546151783872.96,3854.19,82.0463414634146,22733465.0
42,Australia,AUS,2013,1576184467015.49,4092.619,82.1487804878049,23128129.0
43,Australia,AUS,2014,1467483705131.74,4190.269,82.3,23475686.0
44,Australia,AUS,2015,1351693984524.5,4383.645,82.4,23815995.0
45,Australia,AUS,2016,1208846993739.99,4624.966,82.4487804878049,24190907.0
46,Australia,AUS,2017,1329188475752.32,4659.025,82.5,24601860.0
47,Australia,AUS,2018,1432881172002.17,4793.46,82.7487804878049,24982688.0
