,Country,Population,min_wage,GDP,avg_income,SMART AND INCLUSIVE GROWTH,SUSTAINABLE GROWTH: NATURAL RESOURCES,SECURITY AND CITIZENSHIP,GLOBAL EUROPE,ADMINISTRATION,SPECIAL INSTRUMENTS,TOTAL EXPENDITURE,TOTAL national contribution,Tourism income,Tourism income relative to GDP,Tourism expenditure,Tourism expenditure relative to GDP,tourism balance
0,Belgium,11455519,1593.81,478160.7,24608.0,2338.0,673.8,349.5,0.0,5415.6,0.1,8776.9,3861.9,7.923,1.7,16.724,3.5,-8.801
1,Bulgaria,7000039,286.33,61558.0,4224.0,1029.1,1127.7,36.0,0.0,11.9,0.0,2204.8,488.3,3.829,6.3,1.631,2.7,2.198
2,Czechia,10649800,521.7950000000001,225568.7,9995.0,3964.2,1275.9,19.1,0.0,16.3,0.0,5275.5,1712.1,6.524,2.9,5.261,2.3,1.264
3,Denmark,5806081,,310475.6,30717.0,415.5,993.9,19.6,0.0,71.3,0.0,1500.3,2405.6,8.027,2.6,9.037,2.9,-1.011
4,Germany,83019213,1561.0,3473350.0,23515.0,5676.4,6134.1,169.5,0.0,234.3,0.0,12214.2,25820.0,37.193,1.1,83.291,2.4,-46.098
5,Estonia,1324820,540.0,27732.3,11461.0,840.9,279.8,36.7,0.0,11.8,0.0,1169.2,229.2,1.559,5.5,1.386,4.9,173.0
6,Ireland,4904240,1656.2,356526.3,25528.0,430.5,1549.9,24.7,0.0,65.7,0.0,2070.8,1995.6,5.739,1.6,7.288,2.0,-1.549
7,Greece,10724599,721.0450000000001,183250.4,8195.0,2198.3,2497.7,526.8,0.0,34.4,0.5,5257.7,1516.6,18.179,9.9,2.744,1.5,15.435
8,Spain,46937060,1050.0,1244375.0,15015.0,3999.4,6942.7,203.8,0.0,120.9,0.1,11266.8,10221.1,71.203,5.7,24.932,2.0,46.271
9,France,67177636,1521.22,2437635.0,22562.0,4857.4,9618.4,170.1,0.0,439.7,0.0,15085.6,21008.8,56.99,2.3,46.144,1.9,10.846
10,Croatia,4076246,506.41999999999996,55571.4,7306.0,1430.7,597.3,34.0,1.1,10.5,0.0,2073.7,448.6,10.529,19.4,1.574,2.9,8.955
11,Italy,59816673,,1794934.9,17165.0,5108.8,5420.5,368.5,0.0,211.2,277.2,11386.2,14956.0,44.303,2.5,27.099,1.5,17.204
12,Cyprus,875899,,23009.9,16215.0,155.0,82.6,22.3,0.0,6.5,0.0,266.4,184.1,2.906,13.0,1.425,6.4,1.481
13,Latvia,1919968,430.0,30647.2,8187.0,864.1,481.2,19.6,0.0,9.7,0.0,1374.5,246.5,908.0,3.0,669.0,2.2,239.0
14,Lithuania,2794184,555.0,48859.9,7586.0,849.0,642.2,47.5,0.0,11.1,0.0,1549.7,369.3,1.333,2.7,1.241,2.5,93.0
15,Luxembourg,613894,2089.75,62704.2,36354.0,269.9,68.1,49.1,0.0,1674.0,0.0,2061.1,364.8,5.119,8.1,3.247,5.1,1.872
16,Hungary,9772756,462.47,146113.2,5852.0,4305.6,1827.3,52.8,0.0,16.7,0.0,6202.5,1089.6,6.517,4.5,2.453,1.7,4.064
17,Malta,493559,761.97,14056.4,15354.0,170.0,30.1,52.0,0.0,8.0,0.0,260.0,107.3,1.698,12.5,474.0,3.5,1.224
18,Netherlands,17282163,1625.6999999999998,813055.0,24612.0,1373.0,831.2,250.9,0.0,102.0,0.0,2557.1,5326.0,16.513,2.0,18.434,2.3,-1.921
19,Austria,8858775,,397518.5,25729.0,651.2,1271.0,63.1,0.0,29.3,8.2,2022.8,3147.6,20.493,5.2,10.365,2.6,10.128
20,Poland,37972812,526.2750000000001,533599.9,7124.0,11646.7,4561.9,125.6,0.0,31.3,0.0,16365.5,4214.0,12.251,2.3,8.241,1.5,4.01
21,Portugal,10276617,700.0,214374.6,10023.0,2962.6,1292.0,62.5,0.0,48.6,0.8,4366.5,1718.9,18.431,8.6,5.3,2.5,13.131
22,Romania,19414458,442.685,223162.5,3851.0,2334.8,2691.7,78.1,0.0,20.4,8.2,5133.2,1702.5,3.195,1.4,5.359,2.4,-2.164
23,Slovenia,2080908,886.63,48396.7,14067.0,635.3,270.7,20.4,0.0,9.8,0.0,936.2,405.3,2.752,5.7,1.5,3.1,1.253
24,Slovakia,5450421,520.0,94048.0,8119.0,1606.8,671.0,14.4,0.0,12.2,0.0,2304.4,750.2,2.861,3.0,2.313,2.5,548.0
25,Finland,5517919,,240097.0,24879.0,554.8,904.5,35.7,0.0,46.9,0.0,1542.0,2016.4,3.328,1.4,5.075,2.1,-1.747
26,Sweden,10230185,,476869.5,24474.0,594.0,957.4,112.2,0.0,41.7,0.0,1705.2,3042.2,8.202,1.7,12.839,2.7,-4.638
27,United Kingdom,66647112,1485.195,2526615.2,,3442.2,3936.2,117.3,0.0,140.0,0.0,7635.8,14054.5,,,,,
