;GDP per capita All post-accession;GDP per capita 10 years post-accession;GDP per capita 5 years post-accession;Labor productivity All post-accession;Labor productivity 10 years post-accession;Labor productivity 5 years post-accession
Denmark;23.863;14.298;10.292;12.673;?0.562;?0.494
United Kingdom;23.694;8.586;4.824;32.832;8.537;5.551
Ireland;48.9;9.395;5.242;28.348;8.555;6.64
Greece;?19.758;?17.336;?11.591;?12.293;?14.144;?11.456
Portugal;18.351;16.537;11.733;11.66;12.321;10.261
Spain;19.806;13.662;9.348;4.032;3.724;0.759
Austria;7.208;6.364;4.467;13.342;12.896;10.811
Finland;4.365;4.017;2.185;4.261;4.469;4.099
Sweden;3.174;2.353;0.823;2.925;2.617;1.713
Czech Republic;5.615;5.615;2.11;3.665;3.665;?0.563
Estonia;24.153;24.153;16.342;20.462;20.462;15.981
Hungary;12.299;12.299;8.734;17.697;17.697;12.937
Latvia;31.692;31.692;18.016;19.37;19.37;14.952
Lithuania;28.082;28.082;17.352;24.114;24.114;15.31
Poland;5.93;5.93;8.67;9.387;9.387;10.257
Slovak Republic;0.302;0.302;1.315;?1.755;?1.755;?1.985
Slovenia;10.35;10.35;6.327;12.778;12.778;10.848
Northern enlargement (1973);32.152;10.76;6.786;24.617;5.51;3.899
Southern enlargement (1981 and 1986);6.133;4.288;3.164;1.133;0.633;?0.145
Southern enlargement (1986);19.078;15.099;10.541;7.846;8.022;5.51
Northern enlargement (1995);4.915;4.244;2.491;6.843;6.661;5.541
Eastern enlargement (1998 anticipation);14.803;14.803;9.858;13.215;13.215;9.717
