"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2011","European Union - 27 countries (from 2020)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.832",""
"2011","European Union - 27 countries (from 2020)","Current prices, million euro","Gross domestic product at market prices","11,323,915.7",""
"2011","European Union - 27 countries (from 2020)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11,181,500.6",""
"2011","European Union - 28 countries (2013-2020)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.751",""
"2011","European Union - 28 countries (2013-2020)","Current prices, million euro","Gross domestic product at market prices","13,236,785.0",""
"2011","European Union - 28 countries (2013-2020)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","13,077,559.6",""
"2011","European Union - 15 countries (1995-2004)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.645",""
"2011","European Union - 15 countries (1995-2004)","Current prices, million euro","Gross domestic product at market prices","12,167,906.3",""
"2011","European Union - 15 countries (1995-2004)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","12,026,026.0",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.674",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Current prices, million euro","Gross domestic product at market prices","9,746,253.0",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,646,006.0",""
"2011","Euro area - 19 countries  (from 2015)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.688",""
"2011","Euro area - 19 countries  (from 2015)","Current prices, million euro","Gross domestic product at market prices","9,797,236.2",""
"2011","Euro area - 19 countries  (from 2015)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,694,130.3",""
