"TIME","GEO","CURRENCY","Value","Flag and Footnotes"
"2017S1","Belgium","Euro","1,531.93",""
"2017S1","Bulgaria","Euro","235.20",""
"2017S1","Czechia","Euro","407.09",""
"2017S1","Denmark","Euro",":","z"
"2017S1","Germany (until 1990 former territory of the FRG)","Euro","1,506.00",""
"2017S1","Estonia","Euro","470.00",""
"2017S1","Ireland","Euro","1,563.25",""
"2017S1","Greece","Euro","683.76",""
"2017S1","Spain","Euro","825.65",""
"2017S1","France","Euro","1,480.27",""
"2017S1","Croatia","Euro","433.35",""
"2017S1","Italy","Euro",":","z"
"2017S1","Cyprus","Euro",":","z"
"2017S1","Latvia","Euro","380.00",""
"2017S1","Lithuania","Euro","380.00",""
"2017S1","Luxembourg","Euro","1,998.59",""
"2017S1","Hungary","Euro","411.52",""
"2017S1","Malta","Euro","735.63",""
"2017S1","Netherlands","Euro","1,551.60",""
"2017S1","Austria","Euro",":","z"
"2017S1","Poland","Euro","453.48",""
"2017S1","Portugal","Euro","649.83",""
"2017S1","Romania","Euro","275.39",""
"2017S1","Slovenia","Euro","804.96",""
"2017S1","Slovakia","Euro","435.00",""
"2017S1","Finland","Euro",":","z"
"2017S1","Sweden","Euro",":","z"
"2017S1","Iceland","Euro",":","z"
"2017S1","Norway","Euro",":","z"
"2017S1","Switzerland","Euro",":","z"
"2017S1","United Kingdom","Euro","1,393.40",""
"2017S1","Montenegro","Euro","288.05",""
"2017S1","North Macedonia","Euro","240.89",""
"2017S1","Albania","Euro","162.69",""
"2017S1","Serbia","Euro","247.93",""
"2017S1","Turkey","Euro","479.47",""
"2017S1","United States","Euro","1,192.17",""
"2017S2","Belgium","Euro","1,562.59",""
"2017S2","Bulgaria","Euro","235.20",""
"2017S2","Czechia","Euro","419.90",""
"2017S2","Denmark","Euro",":","z"
"2017S2","Germany (until 1990 former territory of the FRG)","Euro","1,506.00",""
"2017S2","Estonia","Euro","470.00",""
"2017S2","Ireland","Euro","1,563.25",""
"2017S2","Greece","Euro","683.76",""
"2017S2","Spain","Euro","825.65",""
"2017S2","France","Euro","1,480.27",""
"2017S2","Croatia","Euro","442.09",""
"2017S2","Italy","Euro",":","z"
"2017S2","Cyprus","Euro",":","z"
"2017S2","Latvia","Euro","380.00",""
"2017S2","Lithuania","Euro","380.00",""
"2017S2","Luxembourg","Euro","1,998.59",""
"2017S2","Hungary","Euro","412.66",""
